"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 09- 07","1,662.95","1,669.09","1,671.84","1,663.09","","-0.31%"
"2023- 09- 06","1,668.04","1,671.07","1,679.86","1,659.69","","-0.10%"
"2023- 09- 05","1,669.69","1,664.23","1,677.94","1,662.67","","0.40%"
"2023- 09- 04","1,663.01","1,659.67","1,668.37","1,657.91","","0.27%"
"2023- 09- 01","1,658.53","1,680.02","1,680.91","1,658.93","","-1.24%"
"2023- 08- 31","1,679.35","1,683.86","1,686.03","1,674.10","","-0.23%"
"2023- 08- 30","1,683.21","1,666.71","1,684.86","1,666.23","","1.02%"
"2023- 08- 29","1,666.29","1,669.04","1,674.78","1,663.40","","-0.13%"
"2023- 08- 28","1,668.40","1,665.92","1,671.26","1,662.29","","0.23%"
"2023- 08- 25","1,664.60","1,673.85","1,676.10","1,661.64","","-0.46%"
"2023- 08- 24","1,672.33","1,690.18","1,692.05","1,670.26","","-0.93%"
"2023- 08- 23","1,688.00","1,707.11","1,709.27","1,687.21","","-1.03%"
"2023- 08- 22","1,705.58","1,710.27","1,713.16","1,701.48","","-0.14%"
"2023- 08- 21","1,707.95","1,706.44","1,713.71","1,704.69","","0.15%"
"2023- 08- 18","1,705.43","1,707.51","1,713.14","1,699.80","","-0.09%"
"2023- 08- 17","1,706.90","1,709.20","1,711.09","1,703.38","","-0.03%"
"2023- 08- 16","1,707.37","1,698.43","1,712.20","1,696.63","","0.57%"
"2023- 08- 15","1,697.65","1,696.97","1,704.31","1,691.80","","0.08%"
"2023- 08- 14","1,696.35","1,688.27","1,699.14","1,683.55","","0.45%"
"2023- 08- 11","1,688.68","1,670.03","1,693.45","1,667.72","","1.17%"
"2023- 08- 10","1,669.17","1,670.58","1,682.54","1,669.25","","-0.05%"
"2023- 08- 09","1,669.98","1,678.94","1,685.59","1,670.20","","-0.50%"
"2023- 08- 08","1,678.29","1,672.11","1,682.82","1,668.36","","0.42%"
"2023- 08- 07","1,671.25","1,663.67","1,673.19","1,655.19","","0.53%"
"2023- 08- 04","1,662.44","1,653.09","1,671.03","1,648.78","","0.67%"
"2023- 08- 03","1,651.43","1,651.76","1,656.35","1,641.07","","0.02%"
"2023- 08- 02","1,651.07","1,647.46","1,660.85","1,645.74","","0.25%"
"2023- 08- 01","1,646.94","1,641.19","1,654.00","1,636.20","","0.42%"
"2023- 07- 31","1,640.13","1,636.04","1,643.77","1,632.17","","0.28%"
"2023- 07- 28","1,635.59","1,643.09","1,648.64","1,629.72","","-0.42%"
"2023- 07- 27","1,642.47","1,645.08","1,662.75","1,639.45","","-0.11%"
"2023- 07- 26","1,644.29","1,647.05","1,652.28","1,640.32","","-0.12%"
"2023- 07- 25","1,646.27","1,643.88","1,648.17","1,635.07","","0.19%"
"2023- 07- 24","1,643.07","1,654.50","1,657.11","1,637.18","","-0.62%"
"2023- 07- 21","1,653.40","1,643.80","1,658.34","1,642.30","","0.68%"
"2023- 07- 20","1,642.26","1,640.59","1,647.91","1,634.68","","0.20%"
"2023- 07- 19","1,639.04","1,650.23","1,652.55","1,629.90","","-0.59%"
"2023- 07- 18","1,648.74","1,652.06","1,656.43","1,645.29","","-0.14%"
"2023- 07- 17","1,651.10","1,661.20","1,664.20","1,651.66","","-0.52%"
"2023- 07- 14","1,659.71","1,664.41","1,668.65","1,655.02","","-0.23%"
"2023- 07- 13","1,663.60","1,655.70","1,665.13","1,650.74","","0.52%"
"2023- 07- 12","1,655.05","1,670.71","1,679.46","1,654.56","","-0.90%"
"2023- 07- 11","1,670.13","1,671.68","1,674.38","1,661.59","","-0.04%"
"2023- 07- 10","1,670.77","1,666.45","1,675.06","1,665.42","","0.29%"
"2023- 07- 07","1,665.98","1,668.31","1,671.70","1,661.09","","-0.11%"
"2023- 07- 06","1,667.81","1,656.67","1,672.15","1,651.85","","0.71%"
"2023- 07- 05","1,656.08","1,646.21","1,659.89","1,645.19","","0.65%"
"2023- 07- 04","1,645.38","1,656.13","1,660.48","1,645.34","","-0.58%"
"2023- 07- 03","1,655.03","1,669.99","1,672.92","1,653.56","","-0.94%"
"2023- 06- 30","1,670.72","1,669.35","1,677.58","1,659.88","","0.19%"
"2023- 06- 29","1,667.57","1,654.52","1,669.43","1,650.29","","0.83%"
"2023- 06- 28","1,653.80","1,656.57","1,667.28","1,652.75","","-0.13%"
"2023- 06- 27","1,655.93","1,659.71","1,662.99","1,650.72","","-0.18%"
"2023- 06- 26","1,658.89","1,663.69","1,667.98","1,656.28","","-0.25%"
"2023- 06- 23","1,663.12","1,655.44","1,669.20","1,651.53","","0.51%"
"2023- 06- 22","1,654.66","1,645.72","1,663.37","1,641.84","","0.58%"
"2023- 06- 21","1,645.07","1,645.02","1,655.78","1,641.22","","0.07%"
"2023- 06- 20","1,643.91","1,641.54","1,647.21","1,635.28","","0.24%"
"2023- 06- 19","1,640.01","1,637.21","1,646.38","1,637.21","","0.27%"
"2023- 06- 16","1,635.64","1,623.69","1,641.42","1,621.11","","0.77%"
"2023- 06- 15","1,623.19","1,613.75","1,628.22","1,609.97","","0.63%"
"2023- 06- 14","1,613.02","1,599.28","1,618.85","1,595.48","","0.91%"
"2023- 06- 13","1,598.44","1,607.68","1,609.69","1,591.78","","-0.54%"
"2023- 06- 12","1,607.09","1,618.88","1,627.24","1,605.56","","-0.68%"
"2023- 06- 09","1,618.03","1,628.23","1,631.10","1,618.16","","-0.50%"
"2023- 06- 08","1,626.20","1,627.64","1,630.45","1,620.90","","-0.03%"
"2023- 06- 07","1,626.69","1,614.57","1,628.85","1,612.13","","0.81%"
"2023- 06- 06","1,613.59","1,617.72","1,621.18","1,611.10","","-0.26%"
"2023- 06- 05","1,617.78","1,626.97","1,629.84","1,614.38","","-0.48%"
"2023- 06- 02","1,625.61","1,645.19","1,646.50","1,624.47","","-1.13%"
"2023- 06- 01","1,644.16","1,643.52","1,652.40","1,639.14","","0.11%"
"2023- 05- 31","1,642.38","1,638.84","1,646.44","1,632.48","","0.25%"
"2023- 05- 30","1,638.22","1,636.73","1,642.79","1,630.06","","0.17%"
"2023- 05- 29","1,635.36","1,633.64","1,638.46","1,631.59","","0.17%"
"2023- 05- 26","1,632.56","1,640.44","1,644.97","1,631.78","","-0.45%"
"2023- 05- 25","1,639.89","1,630.53","1,644.82","1,627.11","","0.60%"
