"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 21","1,458.47","1,457.83","1,465.35","1,456.18","","0.22%"
"2023- 08- 18","1,455.28","1,456.57","1,462.04","1,450.31","","-0.04%"
"2023- 08- 17","1,455.92","1,460.04","1,461.98","1,453.76","","-0.22%"
"2023- 08- 16","1,459.11","1,457.85","1,463.67","1,456.97","","0.13%"
"2023- 08- 15","1,457.23","1,459.09","1,463.80","1,454.74","","-0.10%"
"2023- 08- 14","1,458.64","1,457.41","1,462.33","1,451.89","","0.19%"
"2023- 08- 11","1,455.88","1,446.48","1,461.15","1,445.29","","0.70%"
"2023- 08- 10","1,445.82","1,441.63","1,452.32","1,440.60","","0.35%"
"2023- 08- 09","1,440.84","1,442.93","1,449.68","1,438.70","","-0.10%"
"2023- 08- 08","1,442.34","1,438.98","1,450.38","1,435.65","","0.26%"
"2023- 08- 07","1,438.55","1,437.33","1,440.40","1,428.60","","0.19%"
"2023- 08- 04","1,435.79","1,422.91","1,440.10","1,420.20","","1.00%"
"2023- 08- 03","1,421.64","1,421.36","1,425.06","1,416.46","","0.08%"
"2023- 08- 02","1,420.51","1,416.15","1,427.61","1,415.46","","0.35%"
"2023- 08- 01","1,415.57","1,405.47","1,417.36","1,402.43","","0.74%"
"2023- 07- 31","1,405.13","1,403.54","1,411.72","1,398.84","","0.22%"
"2023- 07- 28","1,402.02","1,409.76","1,411.38","1,397.80","","-0.47%"
"2023- 07- 27","1,408.69","1,408.85","1,427.86","1,404.96","","0.02%"
"2023- 07- 26","1,408.43","1,411.27","1,416.55","1,406.95","","-0.15%"
"2023- 07- 25","1,410.56","1,417.16","1,423.07","1,407.81","","-0.41%"
"2023- 07- 24","1,416.43","1,431.65","1,433.88","1,414.88","","-0.97%"
"2023- 07- 21","1,430.37","1,422.28","1,434.60","1,420.64","","0.69%"
"2023- 07- 20","1,420.52","1,420.09","1,428.76","1,416.15","","0.13%"
"2023- 07- 19","1,418.72","1,420.57","1,424.61","1,416.28","","-0.09%"
"2023- 07- 18","1,420.03","1,420.10","1,423.95","1,414.09","","0.04%"
"2023- 07- 17","1,419.44","1,426.06","1,427.03","1,418.52","","-0.32%"
"2023- 07- 14","1,423.93","1,422.51","1,427.59","1,415.74","","0.15%"
"2023- 07- 13","1,421.78","1,418.84","1,426.01","1,413.44","","0.25%"
"2023- 07- 12","1,418.25","1,422.16","1,428.91","1,415.27","","-0.22%"
"2023- 07- 11","1,421.39","1,429.85","1,432.46","1,420.23","","-0.55%"
"2023- 07- 10","1,429.21","1,424.44","1,433.36","1,423.13","","0.41%"
"2023- 07- 07","1,423.41","1,425.87","1,427.10","1,418.29","","-0.13%"
"2023- 07- 06","1,425.23","1,415.23","1,429.51","1,410.11","","0.75%"
"2023- 07- 05","1,414.66","1,408.61","1,420.95","1,408.05","","0.48%"
"2023- 07- 04","1,407.86","1,423.64","1,427.60","1,407.80","","-1.06%"
"2023- 07- 03","1,422.88","1,436.15","1,437.14","1,420.60","","-0.83%"
"2023- 06- 30","1,434.79","1,437.19","1,440.98","1,430.23","","-0.12%"
"2023- 06- 29","1,436.45","1,428.85","1,440.00","1,424.33","","0.58%"
"2023- 06- 28","1,428.14","1,424.36","1,436.86","1,421.32","","0.31%"
"2023- 06- 27","1,423.77","1,423.69","1,427.18","1,417.19","","0.06%"
"2023- 06- 26","1,422.95","1,426.15","1,428.47","1,418.49","","-0.12%"
"2023- 06- 23","1,424.73","1,422.93","1,428.14","1,418.39","","0.17%"
"2023- 06- 22","1,422.29","1,415.81","1,429.10","1,413.11","","0.51%"
"2023- 06- 21","1,415.10","1,407.05","1,418.08","1,404.14","","0.64%"
"2023- 06- 20","1,406.10","1,401.69","1,410.45","1,395.87","","0.41%"
"2023- 06- 19","1,400.36","1,397.48","1,404.86","1,395.86","","0.33%"
"2023- 06- 16","1,395.73","1,390.39","1,399.42","1,387.94","","0.43%"
"2023- 06- 15","1,389.76","1,380.54","1,394.59","1,377.36","","0.72%"
"2023- 06- 14","1,379.88","1,368.57","1,383.78","1,365.44","","0.87%"
"2023- 06- 13","1,367.98","1,382.19","1,384.12","1,367.81","","-1.00%"
"2023- 06- 12","1,381.78","1,384.39","1,390.23","1,381.06","","-0.12%"
"2023- 06- 09","1,383.48","1,398.03","1,400.39","1,382.69","","-0.94%"
"2023- 06- 08","1,396.65","1,400.13","1,402.52","1,393.85","","-0.20%"
"2023- 06- 07","1,399.45","1,389.61","1,400.96","1,387.30","","0.74%"
"2023- 06- 06","1,389.22","1,394.28","1,396.56","1,387.49","","-0.30%"
"2023- 06- 05","1,393.40","1,398.95","1,402.00","1,393.44","","-0.34%"
"2023- 06- 02","1,398.12","1,413.64","1,414.47","1,397.17","","-0.98%"
"2023- 06- 01","1,412.01","1,412.32","1,417.65","1,408.81","","0.04%"
"2023- 05- 31","1,411.41","1,417.19","1,419.48","1,410.57","","-0.36%"
"2023- 05- 30","1,416.50","1,418.64","1,420.03","1,412.61","","-0.06%"
"2023- 05- 29","1,417.42","1,419.51","1,422.51","1,416.32","","-0.07%"
"2023- 05- 26","1,418.42","1,427.18","1,428.73","1,418.48","","-0.59%"
"2023- 05- 25","1,426.90","1,417.68","1,428.49","1,414.57","","0.70%"
"2023- 05- 24","1,417.05","1,422.17","1,424.01","1,416.91","","-0.26%"
"2023- 05- 23","1,420.79","1,421.01","1,424.61","1,414.88","","0.03%"
"2023- 05- 22","1,420.30","1,433.08","1,435.63","1,419.94","","-0.78%"
"2023- 05- 19","1,431.48","1,437.64","1,439.39","1,428.54","","-0.39%"
"2023- 05- 18","1,437.05","1,446.90","1,449.64","1,435.75","","-0.63%"
"2023- 05- 17","1,446.17","1,458.66","1,460.03","1,444.30","","-0.81%"
"2023- 05- 16","1,457.93","1,452.53","1,461.62","1,449.84","","0.42%"
"2023- 05- 15","1,451.80","1,457.38","1,458.92","1,449.64","","-0.31%"
"2023- 05- 12","1,456.25","1,452.86","1,460.91","1,450.28","","0.25%"
"2023- 05- 11","1,452.60","1,447.45","1,457.01","1,445.05","","0.39%"
"2023- 05- 10","1,446.90","1,453.93","1,455.68","1,446.71","","-0.43%"
"2023- 05- 09","1,453.21","1,455.31","1,458.31","1,449.64","","-0.07%"
"2023- 05- 08","1,454.17","1,454.10","1,462.31","1,451.54","","0.18%"
"2023- 05- 05","1,451.59","1,457.31","1,458.91","1,445.81","","-0.35%"
"2023- 05- 04","1,456.70","1,476.85","1,479.14","1,456.49","","-1.29%"
"2023- 05- 03","1,475.76","1,476.83","1,478.91","1,469.01","","-0.05%"
"2023- 05- 02","1,476.43","1,473.76","1,478.07","1,468.69","","0.23%"
"2023- 05- 01","1,473.04","1,476.74","1,477.88","1,470.41","","-0.08%"
