"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 08- 10","9.0971","9.1393","9.1740","9.0713","","-0.42%"
"2023- 08- 09","9.1357","9.1855","9.2252","9.1357","","-0.50%"
"2023- 08- 08","9.1815","9.1793","9.2479","9.1351","","0.10%"
"2023- 08- 07","9.1721","9.2001","9.2341","9.1504","","-0.28%"
"2023- 08- 04","9.1979","9.1195","9.2170","9.0894","","0.95%"
"2023- 08- 03","9.1114","9.0666","9.1551","9.0217","","0.54%"
"2023- 08- 02","9.0625","8.9957","9.1195","8.9925","","0.78%"
"2023- 08- 01","8.9925","8.9833","9.0366","8.9566","","0.15%"
"2023- 07- 31","8.9794","9.0303","9.0722","8.9423","","-0.40%"
"2023- 07- 28","9.0157","9.2085","9.2587","9.0185","","-2.05%"
"2023- 07- 27","9.2047","9.0669","9.2576","9.0323","","1.58%"
"2023- 07- 26","9.0616","9.0599","9.1039","9.0358","","0.04%"
"2023- 07- 25","9.0580","9.0550","9.0885","9.0062","","0.08%"
"2023- 07- 24","9.0510","9.0810","9.1031","9.0302","","-0.20%"
"2023- 07- 21","9.0692","9.1200","9.1701","9.0386","","-0.47%"
"2023- 07- 20","9.1122","9.0772","9.1418","9.0499","","0.48%"
"2023- 07- 19","9.0690","9.1138","9.1209","9.0393","","-0.46%"
"2023- 07- 18","9.1108","9.1092","9.1683","9.0618","","0.07%"
"2023- 07- 17","9.1040","9.1479","9.1794","9.0948","","-0.40%"
"2023- 07- 14","9.1403","9.1793","9.2399","9.1006","","-0.38%"
"2023- 07- 13","9.1752","9.2039","9.2599","9.1303","","-0.28%"
"2023- 07- 12","9.2014","9.2030","9.2915","9.1751","","0.03%"
"2023- 07- 11","9.1985","9.1986","9.2273","9.1644","","0.04%"
"2023- 07- 10","9.1947","9.1308","9.2224","9.1154","","0.67%"
"2023- 07- 07","9.1337","9.0887","9.1551","9.0684","","0.53%"
"2023- 07- 06","9.0854","9.0146","9.1237","9.0049","","0.82%"
"2023- 07- 05","9.0114","8.9634","9.0340","8.9576","","0.57%"
"2023- 07- 04","8.9599","9.0175","9.0490","8.9536","","-0.59%"
"2023- 07- 03","9.0131","9.1179","9.1263","9.0126","","-1.07%"
"2023- 06- 30","9.1106","9.1375","9.1489","9.0899","","-0.24%"
"2023- 06- 29","9.1325","9.0626","9.1414","9.0504","","0.82%"
"2023- 06- 28","9.0581","9.0195","9.1046","9.0048","","0.45%"
"2023- 06- 27","9.0171","9.0961","9.1229","8.9992","","-0.82%"
"2023- 06- 26","9.0920","9.1165","9.1487","9.0555","","-0.14%"
"2023- 06- 23","9.1045","9.0737","9.1671","9.0555","","0.37%"
"2023- 06- 22","9.0706","9.0830","9.1552","9.0675","","-0.10%"
"2023- 06- 21","9.0798","9.1106","9.1420","9.0777","","-0.29%"
"2023- 06- 20","9.1060","9.0377","9.1271","9.0020","","0.84%"
"2023- 06- 19","9.0300","9.0065","9.0673","8.9938","","0.37%"
"2023- 06- 16","8.9965","9.0555","9.1025","8.9955","","-0.59%"
"2023- 06- 15","9.0501","9.0966","9.1285","9.0368","","-0.48%"
"2023- 06- 14","9.0936","9.0434","9.1523","9.0260","","0.59%"
"2023- 06- 13","9.0401","9.2036","9.2207","9.0386","","-1.75%"
"2023- 06- 12","9.2009","9.2370","9.2785","9.1976","","-0.39%"
"2023- 06- 09","9.2367","9.3333","9.3485","9.2295","","-0.94%"
"2023- 06- 08","9.3240","9.3392","9.3660","9.3090","","-0.12%"
"2023- 06- 07","9.3354","9.3073","9.3744","9.2909","","0.34%"
"2023- 06- 06","9.3039","9.3251","9.3624","9.2861","","-0.16%"
"2023- 06- 05","9.3192","9.3290","9.3635","9.3028","","-0.12%"
"2023- 06- 02","9.3300","9.4630","9.4725","9.3216","","-1.32%"
"2023- 06- 01","9.4545","9.4812","9.5297","9.4444","","-0.23%"
"2023- 05- 31","9.4766","9.4429","9.5195","9.4096","","0.40%"
"2023- 05- 30","9.4390","9.4338","9.4543","9.3983","","0.13%"
"2023- 05- 29","9.4267","9.4070","9.4524","9.3913","","0.24%"
"2023- 05- 26","9.4039","9.5055","9.5143","9.4029","","-1.06%"
"2023- 05- 25","9.5051","9.4563","9.5393","9.4433","","0.55%"
"2023- 05- 24","9.4531","9.5259","9.5421","9.4516","","-0.69%"
"2023- 05- 23","9.5188","9.4813","9.5439","9.4418","","0.43%"
"2023- 05- 22","9.4780","9.6012","9.6356","9.4764","","-1.32%"
